employee_id,date_id,region_id,service_response_time_hours,regulatory_compliance_rate,support_ticket_resolution_rate,system_uptime_percentage,operational_efficiency_score,capex_to_revenue_ratio,employee_productivity_score,automation_rate
50,2023-07-02,1,2.3,0.987,0.946,99.93,86.7,18.4,85.5,0.75
56,2023-07-03,1,2.3,1.0,0.961,99.99,88.1,18.7,86.9,0.762
77,2023-07-04,1,2.4,1.0,0.98,99.99,90.5,19.2,89.2,0.783
92,2023-07-05,1,2.2,0.965,0.925,99.5,84.8,18.0,83.6,0.734
16,2023-07-06,1,2.4,1.0,0.98,99.99,90.2,19.1,88.9,0.78
27,2023-07-07,1,2.4,1.0,0.97,99.99,88.9,18.8,87.7,0.769
56,2023-07-08,1,2.2,0.963,0.923,99.5,84.6,17.9,83.4,0.731
22,2023-07-09,1,2.2,0.95,0.903,99.5,82.8,17.5,81.6,0.716
3,2023-07-10,1,2.3,0.992,0.951,99.99,87.2,18.4,86.0,0.754
86,2023-07-11,1,2.2,0.959,0.919,99.5,84.3,17.8,83.1,0.729
72,2023-07-12,1,2.4,1.0,0.98,99.99,90.2,19.1,89.0,0.78
14,2023-07-13,1,2.3,1.0,0.966,99.99,88.5,18.7,87.3,0.766
13,2023-07-14,1,2.4,1.0,0.98,99.99,92.0,19.4,90.7,0.796
66,2023-07-15,1,2.3,1.0,0.963,99.99,88.2,18.6,87.0,0.763
1,2023-07-16,1,2.2,0.961,0.922,99.5,84.5,17.8,83.3,0.731
24,2023-07-17,1,2.2,0.966,0.926,99.5,84.9,17.9,83.7,0.734
43,2023-07-18,1,2.3,1.0,0.971,99.99,89.0,18.7,87.7,0.77
77,2023-07-19,1,2.2,0.95,0.908,99.5,83.2,17.5,82.1,0.72
24,2023-07-20,1,2.3,0.986,0.945,99.86,86.7,18.2,85.5,0.75
75,2023-07-21,1,2.2,0.965,0.925,99.5,84.7,17.8,83.6,0.733
5,2023-07-22,1,2.3,0.985,0.944,99.74,86.6,18.2,85.4,0.749
55,2023-07-23,1,2.2,0.961,0.921,99.5,84.4,17.7,83.2,0.73
77,2023-07-24,1,2.3,1.0,0.964,99.99,88.3,18.5,87.1,0.764
11,2023-07-25,1,2.4,1.0,0.979,99.99,89.8,18.8,88.5,0.777
93,2023-07-26,1,2.3,0.983,0.942,99.5,86.3,18.1,85.1,0.747
96,2023-07-27,1,2.4,1.0,0.98,99.99,92.8,19.5,91.5,0.803
61,2023-07-28,1,2.3,0.999,0.957,99.99,87.7,18.4,86.5,0.759
22,2023-07-29,1,2.3,0.998,0.957,99.99,87.7,18.4,86.5,0.759
46,2023-07-30,1,2.4,1.0,0.98,99.99,93.4,19.5,92.1,0.808
28,2023-07-31,1,2.3,1.0,0.969,99.99,88.8,18.6,87.6,0.769
78,2023-08-01,1,2.3,1.0,0.98,99.99,89.9,18.8,88.7,0.778
78,2023-07-02,2,1.8,0.98,0.946,99.5,83.7,18.9,81.3,0.672
72,2023-07-03,2,1.8,0.981,0.947,99.5,83.8,18.9,81.4,0.672
25,2023-07-04,2,1.8,1.0,0.968,99.99,85.6,19.3,83.1,0.687
1,2023-07-05,2,1.8,0.971,0.938,99.5,82.9,18.7,80.6,0.666
67,2023-07-06,2,1.8,1.0,0.979,99.99,86.6,19.5,84.1,0.695
78,2023-07-07,2,1.8,1.0,0.966,99.99,85.4,19.2,83.0,0.686
16,2023-07-08,2,1.8,0.991,0.957,99.75,84.6,19.0,82.2,0.679
90,2023-07-09,2,1.8,0.973,0.94,99.5,83.1,18.7,80.7,0.667
66,2023-07-10,2,1.8,0.985,0.951,99.5,84.1,18.9,81.7,0.675
20,2023-07-11,2,1.7,0.969,0.935,99.5,82.7,18.6,80.4,0.664
1,2023-07-12,2,1.8,0.991,0.957,99.76,84.6,19.0,82.2,0.679
22,2023-07-13,2,1.8,0.988,0.954,99.5,84.4,18.9,82.0,0.677
29,2023-07-14,2,1.8,1.0,0.966,99.99,85.4,19.1,83.0,0.686
73,2023-07-15,2,1.8,0.992,0.958,99.89,84.7,19.0,82.3,0.68
47,2023-07-16,2,1.8,1.0,0.967,99.99,85.5,19.1,83.0,0.686
53,2023-07-17,2,1.9,1.0,0.98,99.99,88.7,19.8,86.1,0.712
48,2023-07-18,2,1.8,1.0,0.971,99.99,85.8,19.2,83.4,0.689
47,2023-07-19,2,1.8,1.0,0.98,99.99,87.2,19.5,84.7,0.7
51,2023-07-20,2,1.8,0.976,0.942,99.5,83.3,18.6,81.0,0.669
5,2023-07-21,2,1.8,0.992,0.958,99.89,84.7,18.9,82.3,0.68
18,2023-07-22,2,1.9,1.0,0.98,99.99,90.6,20.2,88.0,0.727
66,2023-07-23,2,1.8,1.0,0.973,99.99,86.0,19.2,83.6,0.691
50,2023-07-24,2,1.9,1.0,0.98,99.99,89.4,19.9,86.8,0.718
3,2023-07-25,2,1.8,1.0,0.966,99.99,85.4,19.0,83.0,0.686
8,2023-07-26,2,1.8,1.0,0.98,99.99,86.9,19.4,84.4,0.697
26,2023-07-27,2,1.9,1.0,0.98,99.99,88.2,19.6,85.7,0.708
38,2023-07-28,2,1.7,0.976,0.943,99.5,83.3,18.6,81.0,0.669
74,2023-07-29,2,1.7,0.971,0.938,99.5,82.9,18.5,80.6,0.666
1,2023-07-30,2,1.8,0.992,0.958,99.83,84.7,18.8,82.3,0.68
95,2023-07-31,2,1.7,0.95,0.914,99.5,80.8,18.0,78.5,0.648
11,2023-08-01,2,1.8,0.984,0.95,99.5,84.0,18.7,81.6,0.675
19,2023-07-02,3,2.8,0.996,0.945,99.99,90.1,18.0,88.6,0.829
41,2023-07-03,3,2.9,1.0,0.958,99.99,91.3,18.2,89.8,0.84
33,2023-07-04,3,2.8,1.0,0.95,99.99,90.5,18.1,89.0,0.833
36,2023-07-05,3,2.9,1.0,0.956,99.99,91.1,18.2,89.5,0.838
24,2023-07-06,3,2.8,0.993,0.943,99.99,89.8,17.9,88.3,0.827
40,2023-07-07,3,2.8,0.977,0.928,99.5,88.4,17.6,86.9,0.814
33,2023-07-08,3,2.6,0.95,0.9,99.5,83.8,16.7,82.4,0.772
19,2023-07-09,3,2.7,0.963,0.914,99.5,87.1,17.3,85.7,0.802
60,2023-07-10,3,2.9,1.0,0.964,99.99,91.9,18.3,90.3,0.846
85,2023-07-11,3,2.7,0.971,0.922,99.5,87.8,17.5,86.4,0.808
91,2023-07-12,3,2.8,1.0,0.95,99.99,90.5,18.0,89.0,0.833
50,2023-07-13,3,2.8,0.974,0.925,99.5,88.1,17.5,86.7,0.811
55,2023-07-14,3,2.8,0.985,0.935,99.99,89.1,17.7,87.6,0.82
17,2023-07-15,3,2.8,1.0,0.956,99.99,91.1,18.1,89.5,0.838
79,2023-07-16,3,2.8,0.994,0.943,99.99,89.9,17.8,88.4,0.827
77,2023-07-17,3,2.8,1.0,0.949,99.99,90.5,17.9,88.9,0.833
7,2023-07-18,3,2.7,0.96,0.911,99.5,86.8,17.2,85.4,0.799
61,2023-07-19,3,2.8,1.0,0.95,99.99,90.5,17.9,89.0,0.833
32,2023-07-20,3,2.8,0.989,0.939,99.99,89.5,17.7,87.9,0.823
59,2023-07-21,3,3.0,1.0,0.98,99.99,95.0,19.0,94.5,0.884
49,2023-07-22,3,2.8,0.978,0.929,99.5,88.5,17.5,87.0,0.814
86,2023-07-23,3,2.9,1.0,0.962,99.99,91.7,18.1,90.2,0.844
29,2023-07-24,3,2.8,0.988,0.938,99.99,89.4,17.7,87.9,0.822
49,2023-07-25,3,2.9,1.0,0.969,99.99,92.3,18.2,90.8,0.85
16,2023-07-26,3,2.7,0.957,0.908,99.5,86.6,17.1,85.1,0.797
91,2023-07-27,3,2.9,1.0,0.965,99.99,91.9,18.1,90.4,0.846
39,2023-07-28,3,2.7,0.973,0.924,99.5,88.0,17.4,86.5,0.81
94,2023-07-29,3,2.7,0.964,0.915,99.5,87.2,17.2,85.7,0.802
45,2023-07-30,3,2.8,1.0,0.954,99.99,90.9,17.9,89.4,0.836
67,2023-07-31,3,2.8,0.983,0.933,99.72,88.9,17.5,87.4,0.818
96,2023-08-01,3,2.7,0.972,0.923,99.5,87.9,17.3,86.4,0.809
79,2023-07-02,4,1.5,0.999,0.972,99.99,91.6,16.6,90.5,0.884
30,2023-07-03,4,1.5,1.0,0.98,99.99,93.8,17.0,92.6,0.905
61,2023-07-04,4,1.5,0.975,0.949,99.5,89.4,16.2,88.3,0.863
45,2023-07-05,4,1.5,0.964,0.938,99.5,88.4,16.0,87.3,0.853
58,2023-07-06,4,1.4,0.959,0.933,99.5,87.9,15.9,86.9,0.848
29,2023-07-07,4,1.5,1.0,0.98,99.99,92.7,16.7,91.6,0.894
17,2023-07-08,4,1.5,0.98,0.953,99.5,89.8,16.2,88.7,0.867
94,2023-07-09,4,1.5,1.0,0.98,99.99,94.1,17.0,93.0,0.908
20,2023-07-10,4,1.4,0.95,0.92,99.5,86.7,15.6,85.7,0.837
57,2023-07-11,4,1.5,0.993,0.966,99.74,91.0,16.4,89.9,0.878
86,2023-07-12,4,1.5,0.979,0.952,99.5,89.7,16.2,88.6,0.866
6,2023-07-13,4,1.5,0.974,0.948,99.5,89.3,16.1,88.2,0.862
63,2023-07-14,4,1.5,1.0,0.98,99.99,92.6,16.6,91.4,0.893
10,2023-07-15,4,1.6,1.0,0.98,99.99,95.0,17.1,94.2,0.92
14,2023-07-16,4,1.5,1.0,0.975,99.99,91.8,16.5,90.7,0.886
49,2023-07-17,4,1.4,0.959,0.933,99.5,87.9,15.8,86.9,0.848
81,2023-07-18,4,1.5,0.97,0.943,99.5,88.9,16.0,87.8,0.858
58,2023-07-19,4,1.4,0.95,0.922,99.5,86.8,15.6,85.8,0.838
93,2023-07-20,4,1.5,1.0,0.98,99.99,94.1,16.9,93.0,0.908
25,2023-07-21,4,1.5,0.988,0.962,99.5,90.6,16.2,89.5,0.874
10,2023-07-22,4,1.5,0.992,0.965,99.64,90.9,16.3,89.8,0.877
93,2023-07-23,4,1.4,0.96,0.934,99.5,88.0,15.8,87.0,0.849
70,2023-07-24,4,1.5,0.996,0.969,99.99,91.3,16.3,90.2,0.881
56,2023-07-25,4,1.5,1.0,0.98,99.99,94.2,16.8,93.0,0.909
79,2023-07-26,4,1.6,1.0,0.98,99.99,95.0,17.3,95.0,0.932
48,2023-07-27,4,1.5,1.0,0.98,99.99,93.6,16.7,92.5,0.903
77,2023-07-28,4,1.5,0.989,0.962,99.5,90.7,16.2,89.6,0.875
85,2023-07-29,4,1.5,1.0,0.975,99.99,91.8,16.4,90.7,0.886
4,2023-07-30,4,1.5,1.0,0.98,99.99,94.5,16.9,93.4,0.912
60,2023-07-31,4,1.5,0.983,0.957,99.5,90.1,16.1,89.0,0.87
12,2023-08-01,4,1.5,1.0,0.98,99.99,93.8,16.7,92.7,0.905
32,2023-07-02,5,2.5,0.97,0.925,99.5,79.9,19.9,78.4,0.609
87,2023-07-03,5,2.4,0.965,0.921,99.5,79.5,19.8,78.0,0.606
65,2023-07-04,5,2.4,0.966,0.921,99.5,79.6,19.8,78.0,0.606
15,2023-07-05,5,2.5,1.0,0.957,99.99,82.7,20.6,81.0,0.63
65,2023-07-06,5,2.5,0.985,0.939,99.56,81.2,20.2,79.6,0.618
91,2023-07-07,5,2.5,0.976,0.931,99.5,80.4,20.0,78.9,0.613
91,2023-07-08,5,2.6,1.0,0.979,99.99,84.6,21.0,82.9,0.644
90,2023-07-09,5,2.5,0.974,0.928,99.5,80.2,19.9,78.7,0.611
69,2023-07-10,5,2.5,1.0,0.953,99.99,82.4,20.5,80.7,0.627
31,2023-07-11,5,2.5,1.0,0.965,99.99,83.4,20.7,81.7,0.635
17,2023-07-12,5,2.5,0.98,0.935,99.5,80.8,20.0,79.2,0.615
98,2023-07-13,5,2.6,1.0,0.98,99.99,84.9,21.1,83.2,0.647
58,2023-07-14,5,2.5,0.982,0.937,99.5,80.9,20.1,79.3,0.616
37,2023-07-15,5,2.4,0.968,0.923,99.5,79.8,19.8,78.2,0.608
18,2023-07-16,5,2.5,1.0,0.954,99.99,82.4,20.4,80.8,0.628
52,2023-07-17,5,2.5,0.996,0.95,99.99,82.1,20.3,80.5,0.625
1,2023-07-18,5,2.5,0.979,0.934,99.5,80.7,20.0,79.1,0.614
79,2023-07-19,5,2.4,0.975,0.93,99.5,80.3,19.9,78.8,0.612
62,2023-07-20,5,2.6,1.0,0.98,99.99,86.8,21.5,85.1,0.661
81,2023-07-21,5,2.6,1.0,0.98,99.99,85.0,21.0,83.3,0.647
79,2023-07-22,5,2.4,0.964,0.919,99.5,79.4,19.6,77.9,0.605
38,2023-07-23,5,2.5,1.0,0.954,99.99,82.4,20.3,80.8,0.628
78,2023-07-24,5,2.5,0.981,0.935,99.5,80.8,19.9,79.2,0.616
58,2023-07-25,5,2.6,1.0,0.98,99.99,86.7,21.4,85.0,0.661
20,2023-07-26,5,2.5,0.991,0.945,99.99,81.7,20.1,80.1,0.622
4,2023-07-27,5,2.5,1.0,0.965,99.99,83.4,20.5,81.7,0.635
15,2023-07-28,5,2.6,1.0,0.976,99.99,84.3,20.8,82.7,0.642
5,2023-07-29,5,2.5,1.0,0.966,99.99,83.5,20.5,81.8,0.636
29,2023-07-30,5,2.4,0.95,0.905,99.5,78.2,19.2,76.7,0.596
67,2023-07-31,5,2.5,1.0,0.953,99.99,82.4,20.2,80.7,0.627
23,2023-08-01,5,2.5,1.0,0.956,99.99,82.6,20.3,81.0,0.629
